timestamp,staging,condenser_inlet_temp,evaporator_heat_load_rt,system_power_consumption
2025-08-01 00:00:00,1,29.5,455.4,756.4
2025-08-01 01:00:00,0,30.2,913.1,959.3
2025-08-01 02:00:00,0,29.3,576.2,586.1
2025-08-01 03:00:00,4,28.5,737.1,1178.5
2025-08-01 04:00:00,10,30.3,784.4,880.9
2025-08-01 05:00:00,4,28.1,558.3,698.1
2025-08-01 06:00:00,0,31.5,1031.9,936.0
2025-08-01 07:00:00,8,27.7,611.2,959.0
2025-08-01 08:00:00,10,28.4,810.1,857.5
2025-08-01 09:00:00,7,30.1,1154.8,898.9
2025-08-01 10:00:00,6,29.0,574.1,806.5
2025-08-01 11:00:00,10,29.0,793.8,1153.7
2025-08-01 12:00:00,9,28.1,568.3,570.1
2025-08-01 13:00:00,3,29.1,913.9,784.3
2025-08-01 14:00:00,7,28.6,806.6,593.8
2025-08-01 15:00:00,3,28.7,1049.0,507.5
2025-08-01 16:00:00,7,28.6,480.6,865.9
2025-08-01 17:00:00,7,27.8,532.1,984.9
2025-08-01 18:00:00,3,27.5,578.2,1097.5
2025-08-01 19:00:00,3,28.5,852.2,1159.6
2025-08-01 20:00:00,2,29.7,883.6,1271.1
2025-08-01 21:00:00,3,29.9,859.5,812.9
2025-08-01 22:00:00,8,29.1,996.9,787.5
2025-08-01 23:00:00,9,28.9,580.8,518.0
2025-08-02 00:00:00,6,28.3,640.1,941.0
2025-08-02 01:00:00,7,28.5,771.9,786.4
2025-08-02 02:00:00,10,29.9,885.8,972.4
2025-08-02 03:00:00,5,28.1,683.3,879.4
2025-08-02 04:00:00,3,28.9,449.0,891.9
2025-08-02 05:00:00,1,28.3,763.5,995.4
2025-08-02 06:00:00,6,29.1,943.6,864.0
2025-08-02 07:00:00,0,30.5,480.6,585.8
2025-08-02 08:00:00,3,30.8,652.7,827.1
2025-08-02 09:00:00,6,31.4,1056.0,1320.6
2025-08-02 10:00:00,6,29.0,820.5,835.8
2025-08-02 11:00:00,3,29.5,792.0,1097.8
2025-08-02 12:00:00,9,29.7,736.1,429.8
2025-08-02 13:00:00,8,27.5,572.9,858.6
2025-08-02 14:00:00,7,28.9,878.4,972.2
2025-08-02 15:00:00,7,27.9,1004.1,632.4
2025-08-02 16:00:00,2,29.4,758.4,905.2
2025-08-02 17:00:00,3,28.1,909.7,1058.8
2025-08-02 18:00:00,5,27.8,647.0,851.2
2025-08-02 19:00:00,8,28.5,345.9,645.6
2025-08-02 20:00:00,10,28.6,711.3,759.8
2025-08-02 21:00:00,6,27.9,1063.6,844.2
2025-08-02 22:00:00,5,30.7,981.9,876.6
2025-08-02 23:00:00,4,28.3,868.2,930.0
2025-08-03 00:00:00,5,29.1,1051.4,632.3
2025-08-03 01:00:00,5,27.6,771.0,760.5
2025-08-03 02:00:00,2,29.4,757.3,619.6
2025-08-03 03:00:00,9,29.5,1109.9,1179.3
2025-08-03 04:00:00,3,29.0,925.5,1018.3
2025-08-03 05:00:00,3,29.2,804.8,823.7
2025-08-03 06:00:00,3,28.0,1027.1,1181.6
2025-08-03 07:00:00,1,28.6,1088.5,599.6
2025-08-03 08:00:00,0,28.2,863.3,774.4
2025-08-03 09:00:00,7,27.7,726.7,936.5
2025-08-03 10:00:00,2,29.0,972.8,945.3
2025-08-03 11:00:00,9,28.6,805.2,933.0
2025-08-03 12:00:00,1,30.5,1066.6,703.5
2025-08-03 13:00:00,4,29.3,843.6,917.4
