timestamp,outside_humidity,outside_temperature,return_humidity,return_temperature,economizer_enthalpy_setpoint,economizer_temperature_setpoint,power
2021-02-24 12:00:00,0.8,64.6,0.48,78.2,72,30,415340
2021-02-24 13:00:00,0.87,77.0,0.42,76.8,72,30,218604
2021-02-24 14:00:00,0.99,49.8,0.51,71.8,72,30,376426
2021-02-24 15:00:00,0.84,81.8,0.49,75.7,72,30,460481
2021-02-24 16:00:00,0.82,67.2,0.53,77.0,72,30,348610
2021-02-24 17:00:00,0.81,71.2,0.52,77.0,72,30,311546
2021-02-24 18:00:00,0.86,64.5,0.48,71.9,72,30,308549
2021-02-24 19:00:00,0.78,77.7,0.49,76.4,72,30,488185
2021-02-24 20:00:00,0.88,66.8,0.54,78.5,72,30,355852
2021-02-24 21:00:00,0.9,80.3,0.59,72.6,72,30,367438
2021-02-24 22:00:00,0.88,66.3,0.57,72.4,72,30,306095
2021-02-27 16:00:00,0.85,74.4,0.46,82.5,72,30,300711
2021-02-27 17:00:00,0.92,65.4,0.51,75.0,72,30,296856
2021-03-03 15:00:00,0.88,71.1,0.53,71.8,72,30,312031
2021-03-03 16:00:00,0.94,62.0,0.45,77.0,72,30,335058
2021-03-03 17:00:00,0.83,71.1,0.48,74.0,72,30,281104
2021-03-08 16:00:00,0.82,77.5,0.59,75.8,72,30,295217
2021-03-08 17:00:00,0.92,53.6,0.53,69.7,72,30,337298
2021-03-09 09:00:00,0.82,78.0,0.48,77.0,72,30,335021
2021-03-09 10:00:00,0.79,69.9,0.5,71.9,72,30,269516
2021-03-09 11:00:00,0.83,70.9,0.47,75.7,72,30,499282
2021-03-09 12:00:00,0.82,53.4,0.53,78.5,72,30,423539
2021-03-09 13:00:00,0.8,82.7,0.48,75.5,72,30,447900
2021-03-09 14:00:00,0.89,81.6,0.46,75.3,72,30,320023
2021-03-09 15:00:00,0.82,45.0,0.46,72.1,72,30,314355
2021-03-09 16:00:00,0.83,61.3,0.54,81.3,72,30,338658
2021-03-09 17:00:00,0.82,79.6,0.46,71.6,72,30,496474
2021-03-09 18:00:00,0.84,69.4,0.61,79.0,72,30,329239
2021-03-09 19:00:00,0.79,64.4,0.48,84.0,72,30,431785
